0:0:0:0:0:0:0:1 - - [19/Jan/2018:18:35:27 +0530] "GET /GraphDemo/theme/bower_components/jquery-ui/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2018:18:35:27 +0530] "GET /GraphDemo/theme/bower_components/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2018:18:35:27 +0530] "GET /GraphDemo/theme/bower_components/raphael/raphael.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2018:18:35:27 +0530] "GET /GraphDemo/theme/bower_components/morris.js/morris.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2018:18:35:27 +0530] "GET /GraphDemo/theme/bower_components/chart.js/Chart.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2018:18:35:27 +0530] "GET /GraphDemo/theme/bower_components/datatables.net/js/jquery.dataTables.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2018:18:35:27 +0530] "GET /GraphDemo/theme/bower_components/datatables.net-bs/js/dataTables.bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2018:18:35:27 +0530] "GET /GraphDemo/theme/bower_components/jquery-sparkline/dist/jquery.sparkline.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2018:18:35:27 +0530] "GET /GraphDemo/theme/plugins/jvectormap/jquery-jvectormap-1.2.2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2018:18:35:27 +0530] "GET /GraphDemo/theme/plugins/jvectormap/jquery-jvectormap-world-mill-en.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2018:18:35:27 +0530] "GET /GraphDemo/theme/bower_components/jquery-knob/dist/jquery.knob.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2018:18:35:27 +0530] "GET /GraphDemo/theme/bower_components/moment/min/moment.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2018:18:35:27 +0530] "GET /GraphDemo/theme/bower_components/bootstrap-daterangepicker/daterangepicker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2018:18:35:27 +0530] "GET /GraphDemo/theme/bower_components/bootstrap-datepicker/dist/js/bootstrap-datepicker.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2018:18:35:28 +0530] "GET /GraphDemo/theme/plugins/bootstrap-wysihtml5/bootstrap3-wysihtml5.all.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2018:18:35:28 +0530] "GET /GraphDemo/theme/bower_components/jquery-slimscroll/jquery.slimscroll.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2018:18:35:28 +0530] "GET /GraphDemo/theme/bower_components/fastclick/lib/fastclick.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2018:18:35:28 +0530] "GET /GraphDemo/theme/dist/js/adminlte.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2018:18:35:28 +0530] "GET /GraphDemo/theme/plugins/iCheck/icheck.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2018:18:35:36 +0530] "GET /GraphDemo/pages/login.jsp HTTP/1.1" 200 7146
0:0:0:0:0:0:0:1 - - [19/Jan/2018:18:35:38 +0530] "GET /GraphDemo/theme/bower_components/bootstrap/dist/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [19/Jan/2018:18:35:39 +0530] "GET /GraphDemo/theme/plugins/iCheck/square/blue.png HTTP/1.1" 200 2185
0:0:0:0:0:0:0:1 - - [19/Jan/2018:18:35:40 +0530] "POST /GraphDemo/tiles/ajax.jsp?methodId=checkLogin HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [19/Jan/2018:18:35:40 +0530] "GET /GraphDemo/pages/index.jsp HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [19/Jan/2018:18:36:00 +0530] "GET /GraphDemo/pages/index.jsp HTTP/1.1" 200 19587
0:0:0:0:0:0:0:1 - - [19/Jan/2018:18:36:00 +0530] "GET /GraphDemo/theme/dist/img/profile.jpg HTTP/1.1" 200 4726
0:0:0:0:0:0:0:1 - - [19/Jan/2018:18:36:02 +0530] "GET /GraphDemo/pages/graphs.jsp HTTP/1.1" 200 23199
0:0:0:0:0:0:0:1 - - [19/Jan/2018:18:36:42 +0530] "GET /GraphDemo/pages/graphs.jsp HTTP/1.1" 200 23332
0:0:0:0:0:0:0:1 - - [19/Jan/2018:18:36:47 +0530] "POST /GraphDemo/tiles/ajax.jsp?methodId=graph HTTP/1.1" 200 50
